airport_code,total_enplaned
ATL,53504022
LAX,42944850
ORD,40888335
DFW,35778123
DEN,33592342
JFK,31055358
SFO,27708869
SEA,24968689
MCO,24572339
LAS,24462857
CLT,24198350
EWR,23171827
PHX,22433224
IAH,21906246
MIA,21451522
BOS,20698604
MSP,19187290
DTW,18141814
FLL,17957583
PHL,16006012
LGA,15393464
BWI,13252699
SLC,12839565
SAN,12647914
IAD,11892778
DCA,11595425
TPA,10938863
MDW,10080385
HNL,9977213
PDX,9796383
BNA,8934552
AUS,8506262
DAL,8079316
STL,7759485
SJC,7686835
HOU,7068876
RDU,6918819
MSY,6873307
OAK,6558024
SMF,6454329
MCI,5759138
SNA,5152338
RSW,5043752
SAT,5033308
CLE,4894144
PIT,4713632
IND,4706407
SJU,4561444
CVG,4413366
CMH,4170705
